,shape,price,carat,cut,color,clarity,report,type
158,9,460,0.31,3,5,5,1,1
159,9,460,0.31,2,2,3,1,1
160,9,460,0.3,2,1,3,1,1
161,9,460,0.3,4,5,3,1,1
162,9,460,0.3,4,2,3,1,1
163,9,460,0.35,3,6,2,1,1
164,6,460,0.32,2,5,2,1,1
165,6,460,0.3,4,2,3,1,1
166,2,460,0.35,2,3,3,1,1
167,9,460,0.3,3,5,5,1,1
168,9,460,0.3,3,6,4,1,1
169,9,460,0.33,2,6,3,1,1
170,9,460,0.32,2,6,2,1,1
171,9,460,0.33,3,5,3,1,1
172,9,460,0.3,3,4,2,1,1
173,9,460,0.3,4,6,2,1,1
174,2,460,0.34,2,5,5,1,1
175,4,460,0.3,4,5,7,1,1
176,9,460,0.31,3,6,4,1,1
177,9,460,0.3,3,3,3,1,1
178,9,460,0.33,3,6,3,1,1
179,9,460,0.3,3,6,2,1,1
180,9,460,0.3,2,4,2,1,1
181,9,460,0.3,4,5,2,1,1
182,7,460,0.26,4,3,4,1,1
183,2,460,0.3,3,5,4,1,1
184,2,460,0.3,2,1,2,1,1
185,2,460,0.33,2,5,2,1,1
186,9,460,0.3,2,5,5,1,1
187,9,460,0.37,3,6,3,1,1
188,9,460,0.31,3,6,3,1,1
189,9,460,0.3,3,5,2,1,1
190,9,460,0.3,4,3,2,1,1
191,9,460,0.3,2,5,6,1,1
192,9,460,0.31,3,6,2,1,1
193,7,470,0.25,4,1,5,1,1
194,6,470,0.32,2,3,3,1,1
195,6,470,0.3,1,1,3,1,1
196,2,470,0.32,2,1,2,1,1
197,6,470,0.3,2,5,5,1,1
198,2,470,0.33,2,5,2,1,1
199,9,470,0.25,3,2,2,1,1
200,9,470,0.3,4,6,4,1,1
201,9,470,0.34,3,6,5,1,1
202,9,470,0.35,2,6,3,1,1
203,9,470,0.3,4,3,3,1,1
204,9,470,0.32,2,6,3,1,1
205,9,470,0.3,3,5,2,1,1
206,6,470,0.3,1,4,2,1,1
207,4,470,0.3,2,2,2,1,1
208,7,470,0.25,1,2,4,1,1
209,9,470,0.3,2,6,3,1,1
210,9,470,0.25,2,2,5,1,1
211,9,470,0.3,1,1,3,1,1
212,9,470,0.34,4,6,5,1,1
213,9,470,0.3,3,4,2,1,1
214,9,470,0.25,3,4,5,1,1
215,9,470,0.38,2,6,3,1,1
216,7,470,0.3,2,5,4,1,1
217,9,470,0.3,4,6,5,1,1
218,7,470,0.25,2,2,4,1,1
219,6,470,0.32,2,5,5,1,1
220,6,470,0.3,2,5,7,1,1
221,2,470,0.3,4,4,2,1,1
222,7,470,0.31,2,5,3,1,1
223,9,470,0.3,2,5,4,1,1
224,9,470,0.3,4,5,5,1,1
225,9,470,0.37,3,6,2,1,1
226,9,470,0.32,2,4,2,1,1
227,9,470,0.3,3,6,4,1,1
228,9,470,0.3,4,4,3,1,1
229,9,470,0.3,2,5,3,1,1
230,7,470,0.3,2,1,2,1,1
231,9,470,0.34,2,6,3,1,1
232,2,470,0.3,2,1,3,1,1
233,2,470,0.3,2,5,2,1,1
234,2,470,0.3,2,5,4,1,1
235,6,470,0.31,2,5,6,1,1
236,9,470,0.31,4,5,5,1,1
237,9,470,0.25,3,5,6,1,1
238,2,470,0.3,2,0,3,1,1
239,2,470,0.3,2,4,2,1,1
240,9,470,0.3,3,6,3,1,1
241,6,470,0.3,2,4,2,1,1
242,6,470,0.3,2,5,4,1,1
243,9,470,0.3,1,2,2,1,1
244,2,470,0.3,2,2,2,1,1
245,6,470,0.3,2,4,5,1,1
246,9,470,0.3,3,5,5,1,1
247,9,470,0.3,4,2,3,1,1
248,9,470,0.31,3,6,2,1,1
249,9,470,0.3,3,6,5,1,1
250,6,470,0.3,2,2,2,1,1
251,2,470,0.3,2,5,1,1,1
252,2,470,0.37,2,5,2,1,1
253,2,470,0.3,2,5,5,1,1
254,2,470,0.3,2,3,2,1,1
255,2,470,0.3,2,1,2,1,1
256,9,470,0.3,4,5,3,1,1
257,9,470,0.3,4,1,3,1,1
258,9,470,0.31,4,2,3,1,1
259,9,470,0.33,3,6,5,1,1
260,9,470,0.3,4,2,2,1,1
261,9,470,0.31,3,6,5,1,1
262,9,470,0.3,3,3,2,1,1
263,9,470,0.3,3,6,2,1,1
264,9,470,0.3,2,2,3,1,1
265,9,470,0.3,3,3,3,1,1
266,7,480,0.3,2,3,2,1,1
267,7,480,0.3,4,3,2,1,1
268,7,480,0.28,2,1,5,1,1
269,2,480,0.3,2,3,2,1,1
270,2,480,0.37,3,6,4,1,1
271,9,480,0.3,4,5,3,1,1
272,9,480,0.3,4,5,4,1,1
273,9,480,0.31,3,4,3,1,1
274,9,480,0.3,4,1,3,1,1
275,9,480,0.32,3,6,4,1,1
276,9,480,0.3,3,5,5,1,1
277,9,480,0.31,4,3,3,1,1
278,9,480,0.31,3,6,4,1,1
279,9,480,0.3,4,6,7,1,1
280,9,480,0.3,2,5,5,1,1
281,6,480,0.3,2,3,3,1,1
282,9,480,0.3,3,4,3,1,1
283,2,480,0.3,2,4,5,1,1
284,4,480,0.3,2,2,3,1,1
285,4,480,0.3,2,3,2,1,1
286,7,480,0.3,2,1,3,1,1
287,7,480,0.3,4,3,4,1,1
288,7,480,0.28,4,3,5,1,1
289,7,480,0.25,2,0,5,1,1
290,9,480,0.32,4,4,3,1,1
291,2,480,0.34,2,5,5,1,1
292,2,480,0.32,2,5,5,1,1
293,2,480,0.31,3,2,2,1,1
294,7,480,0.3,2,5,4,1,1
295,4,480,0.3,4,2,2,1,1
296,7,480,0.31,2,5,5,1,1
297,9,480,0.31,2,4,3,1,1
298,2,480,0.31,2,4,2,1,1
299,9,480,0.3,3,5,4,1,1
300,6,480,0.3,2,4,2,1,1
301,9,480,0.33,3,5,2,1,1
302,9,480,0.25,2,2,2,1,1
303,9,480,0.34,2,6,2,1,1
